,date,runid
1,2018206045859,120
2,2018234235059,121
3,2018263035959,123
4,2018292075959,124
5,2018319095959,125
6,2018349182459,126
7,2019006130736,131
8,2019032160000,136
9,2019058134432,139
10,2019085135100,140
11,2019112060037,143
12,2019140104343,144
13,2019169103026,146
14,2019198215352,150
15,2019226182529,151
16,2019253231442,152
17,2019279210107,161
18,2019306063752,162
19,2019331140908,164
20,2019357164649,165
21,2020020091053,167
22,2020049080258,174
23,2020078014623,177
24,2020106103520,180
25,2020133194932,182
26,2020160202036,188
27,2020186164531,189
28,2020212050318,190
29,2020238165205,193
30,2020266004630,195
31,2020294194027,198
32,2020324010417,200
33,2020351194500,203
34,2021014023720,204
35,2021039152502,205
36,2021065132309,207
37,2021091135823,208
38,2021118034608,209
39,2021146024351,210
40,2021175071901,211
41,2021204101404,212
42,2021232031932,213
43,2021258175143,214
44,2021284114741,215
45,2021310001228,216
46,2021336043614,217
47,2021364111932,218
